SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day,UNITS
27-137-7001,2016-04-20,3,22,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,20,PPB
27-137-7001,2016-04-21,1,14,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,21,PPB
27-137-7001,2016-04-22,6,12,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,22,PPB
27-137-7001,2016-04-23,1,11,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,23,PPB
27-137-7001,2016-04-24,0,10,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,24,PPB
27-137-7001,2016-04-25,3,9,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,25,PPB
27-137-7001,2016-04-26,0,9,39.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,26,PPB
27-137-7001,2016-04-27,3,9,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,27,PPB
27-137-7001,2016-04-28,14,11,38,27,137,7001,47.523355,-92.536305,1899-12-31T14:00:00Z,88101,2016,4,28,PPB
27-137-7001,2016-04-29,0,10,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,29,PPB
27-137-7001,2016-04-30,0,8,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,30,PPB
27-137-7001,2016-05-01,0,9,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,01,PPB
27-137-7001,2016-05-02,0,10,47,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,02,PPB
27-137-7001,2016-05-03,2,9,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,03,PPB
27-137-7001,2016-05-04,1,9,50.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,04,PPB
27-137-7001,2016-05-05,0,10,47,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,05,PPB
27-137-7001,2016-05-06,0,12,46.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,06,PPB
27-137-7001,2016-05-07,3,12,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,07,PPB
27-137-7001,2016-05-08,5,19,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,08,PPB
27-137-7001,2016-05-09,0,12,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,09,PPB
27-137-7001,2016-05-10,1,13,59,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,10,PPB
27-137-7001,2016-05-11,22,8,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T22:00:00Z,88101,2016,5,11,PPB
27-137-7001,2016-05-12,2,9,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,12,PPB
27-137-7001,2016-05-13,4,6,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,13,PPB
27-137-7001,2016-05-14,1,8,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,14,PPB
27-137-7001,2016-05-15,1,7,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,15,PPB
27-137-7001,2016-05-16,1,10,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,16,PPB
27-137-7001,2016-05-17,1,15,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,17,PPB
27-137-7001,2016-05-18,1,19,71,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,18,PPB
27-137-7001,2016-05-19,0,14,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,19,PPB
27-137-7001,2016-05-20,1,18,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,20,PPB
27-137-7001,2016-05-21,1,10,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,21,PPB
27-137-7001,2016-05-22,1,8,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,22,PPB
27-137-7001,2016-05-23,1,14,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,23,PPB
27-137-7001,2016-05-24,4,15,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,24,PPB
27-137-7001,2016-05-25,2,15,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,25,PPB
27-137-7001,2016-05-26,5,20,82.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,26,PPB
27-137-7001,2016-05-27,0,15,65,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,27,PPB
27-137-7001,2016-05-28,3,10,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,28,PPB
27-137-7001,2016-05-29,5,10,81.2,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,29,PPB
27-137-7001,2016-05-30,0,15,74,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,30,PPB
27-137-7001,2016-05-31,2,18,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,31,PPB
27-137-7001,2016-06-01,2,12,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,01,PPB
27-137-7001,2016-06-02,1,15,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,02,PPB
27-137-7001,2016-06-03,1,10,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,03,PPB
27-137-7001,2016-06-04,3,10,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,04,PPB
27-137-7001,2016-06-05,0,17,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,05,PPB
27-137-7001,2016-06-06,1,13,78.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,06,PPB
27-137-7001,2016-06-07,2,10,63.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,07,PPB
27-137-7001,2016-06-08,4,11,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,6,08,PPB
27-137-7001,2016-06-09,3,13,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,09,PPB
27-137-7001,2016-06-10,1,13,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,10,PPB
27-137-7001,2016-06-11,3,15,67.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,11,PPB
27-137-7001,2016-06-12,3,11,56,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,12,PPB
27-137-7001,2016-06-13,0,12,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,13,PPB
27-137-7001,2016-06-14,7,10,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,6,14,PPB
27-137-7001,2016-06-15,0,10,56,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,15,PPB
27-137-7001,2016-06-16,10,28,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T10:00:00Z,88101,2016,6,16,PPB
27-137-7001,2016-06-17,1,9,80,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,17,PPB
27-137-7001,2016-06-18,1,14,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,18,PPB
27-137-7001,2016-06-19,3,13,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,19,PPB
27-137-7001,2016-06-20,0,12,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,20,PPB
27-137-7001,2016-06-21,0,10,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,21,PPB
27-137-7001,2016-06-22,1,12,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,22,PPB
27-137-7001,2016-06-23,0,13,80,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,23,PPB
27-137-7001,2016-06-24,0,10,63.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,24,PPB
27-137-7001,2016-06-25,7,10,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,6,25,PPB
27-137-7001,2016-06-26,0,11,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,26,PPB
27-137-7001,2016-06-27,0,14,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,27,PPB
27-137-7001,2016-06-28,0,13,81.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,28,PPB
27-137-7001,2016-06-29,2,8,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,29,PPB
27-137-7001,2016-06-30,0,7,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,30,PPB
27-137-7001,2016-07-01,0,11,65,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,01,PPB
27-137-7001,2016-07-02,1,6,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,02,PPB
27-137-7001,2016-07-03,0,12,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,03,PPB
27-137-7001,2016-07-04,2,17,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,7,04,PPB
27-137-7001,2016-07-05,0,16,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,05,PPB
27-137-7001,2016-07-06,3,14,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,7,06,PPB
27-137-7001,2016-07-07,1,16,75.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,07,PPB
27-137-7001,2016-07-08,0,10,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,08,PPB
27-137-7001,2016-07-09,4,7,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,7,09,PPB
27-137-7001,2016-07-10,0,11,78.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,10,PPB
27-137-7001,2016-07-11,0,23,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,11,PPB
27-137-7001,2016-07-12,0,18,72.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,12,PPB
27-137-7001,2016-07-13,1,21,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,13,PPB
27-137-7001,2016-07-14,4,12,58.4,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,7,14,PPB
27-137-7001,2016-07-15,0,7,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,15,PPB
27-137-7001,2016-07-16,0,8,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,16,PPB
27-137-7001,2016-07-17,4,12,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,7,17,PPB
27-137-7001,2016-07-18,9,13,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T09:00:00Z,88101,2016,7,18,PPB
27-137-7001,2016-07-19,0,16,74,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,19,PPB
27-137-7001,2016-07-20,0,17,83,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,20,PPB
27-137-7001,2016-07-21,1,27,87.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,21,PPB
27-137-7001,2016-07-22,0,19,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,22,PPB
27-137-7001,2016-07-23,1,8,74,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,23,PPB
27-137-7001,2016-07-24,0,11,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,24,PPB
27-137-7001,2016-07-25,1,13,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,25,PPB
27-137-7001,2016-07-26,2,21,84.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,7,26,PPB
27-137-7001,2016-07-27,1,9,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,27,PPB
27-137-7001,2016-07-28,5,9,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,7,28,PPB
27-137-7001,2016-07-29,1,13,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,29,PPB
27-137-7001,2016-08-05,15,9,75.8,27,137,7001,47.523355,-92.536305,1899-12-31T15:00:00Z,88101,2016,8,05,PPB
27-137-7001,2016-08-06,1,23,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,06,PPB
27-137-7001,2016-08-07,2,16,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,8,07,PPB
27-137-7001,2016-08-08,0,16,78.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,08,PPB
27-137-7001,2016-08-09,0,19,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,09,PPB
27-137-7001,2016-08-10,1,25,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,10,PPB
27-137-7001,2016-08-11,0,12,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,11,PPB
27-137-7001,2016-08-12,4,9,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,8,12,PPB
27-137-7001,2016-08-13,1,10,63.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,13,PPB
27-137-7001,2016-08-14,1,9,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,14,PPB
27-137-7001,2016-08-15,0,9,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,15,PPB
27-137-7001,2016-08-16,3,13,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,16,PPB
27-137-7001,2016-08-17,1,16,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,17,PPB
27-137-7001,2016-08-18,1,12,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,18,PPB
27-137-7001,2016-08-19,3,5,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,19,PPB
27-137-7001,2016-08-20,0,4,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,20,PPB
27-137-7001,2016-08-21,1,6,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,21,PPB
27-137-7001,2016-08-22,2,10,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,8,22,PPB
27-137-7001,2016-08-23,1,13,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,23,PPB
27-137-7001,2016-08-24,1,15,71,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,24,PPB
27-137-7001,2016-08-25,1,16,65,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,25,PPB
27-137-7001,2016-08-26,2,5,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,8,26,PPB
27-137-7001,2016-08-27,7,6,68.6,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,8,27,PPB
27-137-7001,2016-08-28,3,12,65,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,28,PPB
27-137-7001,2016-08-29,5,6,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,8,29,PPB
27-137-7001,2016-08-30,0,7,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,30,PPB
27-137-7001,2016-08-31,1,5,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,31,PPB
27-137-7001,2016-09-01,2,5,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,9,01,PPB
27-137-7001,2016-09-02,1,7,74,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,02,PPB
27-137-7001,2016-09-03,12,5,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T12:00:00Z,88101,2016,9,03,PPB
27-137-7001,2016-09-04,0,5,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,04,PPB
27-137-7001,2016-09-05,6,3,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,9,05,PPB
27-137-7001,2016-09-06,0,13,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,06,PPB
27-137-7001,2016-09-07,1,9,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,07,PPB
27-137-7001,2016-09-08,1,6,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,08,PPB
27-137-7001,2016-09-09,3,10,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,09,PPB
27-137-7001,2016-09-10,0,2,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,10,PPB
27-137-7001,2016-09-11,0,17,50.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,11,PPB
27-137-7001,2016-09-12,1,6,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,12,PPB
27-137-7001,2016-09-13,1,11,54.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,13,PPB
27-137-7001,2016-09-14,2,9,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,9,14,PPB
27-137-7001,2016-09-15,3,6,57.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,15,PPB
27-137-7001,2016-09-16,3,7,65,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,16,PPB
27-137-7001,2016-09-17,3,9,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,17,PPB
27-137-7001,2016-09-18,11,6,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T11:00:00Z,88101,2016,9,18,PPB
27-137-7001,2016-09-19,8,13,61.4,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,9,19,PPB
27-137-7001,2016-09-20,5,15,65,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,9,20,PPB
27-137-7001,2016-09-21,0,11,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,21,PPB
27-137-7001,2016-09-22,4,7,71,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,9,22,PPB
27-137-7001,2016-09-23,5,9,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,9,23,PPB
27-137-7001,2016-09-24,0,8,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,24,PPB
27-137-7001,2016-09-25,5,13,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,9,25,PPB
27-137-7001,2016-09-26,0,20,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,26,PPB
27-137-7001,2016-09-27,0,15,66.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,27,PPB
27-137-7001,2016-09-28,1,22,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,28,PPB
27-137-7001,2016-09-29,0,5,53,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,29,PPB
27-137-7001,2016-09-30,13,4,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T13:00:00Z,88101,2016,9,30,PPB
27-137-7001,2016-10-01,0,7,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,01,PPB
27-137-7001,2016-10-02,0,7,57.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,02,PPB
27-137-7001,2016-10-03,1,11,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,03,PPB
27-137-7001,2016-10-04,1,4,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,04,PPB
27-137-7001,2016-10-05,2,5,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,10,05,PPB
27-137-7001,2016-10-06,3,11,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,06,PPB
27-137-7001,2016-10-07,1,8,47.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,07,PPB
27-137-7001,2016-10-08,0,5,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,08,PPB
27-137-7001,2016-10-09,0,6,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,09,PPB
27-137-7001,2016-10-10,2,8,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,10,10,PPB
27-137-7001,2016-10-11,1,11,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,11,PPB
27-137-7001,2016-10-12,14,9,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T14:00:00Z,88101,2016,10,12,PPB
27-137-7001,2016-10-13,2,9,50,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,10,13,PPB
27-137-7001,2016-10-14,3,9,62,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,14,PPB
27-137-7001,2016-10-15,4,8,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,10,15,PPB
27-137-7001,2016-10-16,9,6,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T09:00:00Z,88101,2016,10,16,PPB
27-137-7001,2016-10-17,1,6,50,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,17,PPB
27-137-7001,2016-10-18,0,6,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,18,PPB
27-137-7001,2016-10-19,0,11,62,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,19,PPB
27-137-7001,2016-10-20,0,9,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,20,PPB
27-137-7001,2016-10-21,1,7,47,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,21,PPB
27-137-7001,2016-10-22,0,7,56,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,22,PPB
27-137-7001,2016-10-23,0,9,57.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,23,PPB
